driverId,driver_career_starts,driver_career_avg_finish,driver_form_ewm_finish,driver_rolling_finish_last3,driver_rolling_finish_last5,driver_season_avg_finish,driver_recent_points_sum5,driver_career_podium_rate,driver_career_win_rate,driver_career_top10_rate,driver_career_dnf_rate,driver_recent_dnf_rate_5,driver_avg_grid_pos_career,driver_grid_to_finish_gain_mean,driver_championship_stand_pos,driver_championship_points,driver_circuit_starts,driver_circuit_avg_finish,driver_circuit_best_finish,driver_circuit_podiums,driver_circuit_podium_rate,driver_circuit_dnf_rate,driver_circuit_recency_weighted_finish,driver_quali_career_avg,driver_quali_rolling_avg_last3,driver_quali_rolling_avg_last5,driver_quali_vs_teammate_diff,constructor_quali_strength,grid_position,is_post_qualifying_feature,driver_historical_pace_median,driver_historical_pace_std,constructorId,constructor_career_starts,constructor_career_avg_finish,constructor_rolling_points_last5,constructor_recent_avg_finish_5,constructor_career_podium_rate,constructor_career_win_rate,constructor_reliability_dnf_rate,constructor_recent_dnf_rate_10,constructor_season_points,constructor_season_rank,constructor_circuit_starts,constructor_circuit_avg_finish,constructor_circuit_podium_rate,constructor_circuit_dnf_rate,constructor_circuit_recency_finish,constructor_pit_duration_mean,constructor_pit_duration_std,raceId,year,round,circuitId,is_monza,positionOrder,points,statusId,actual_grid,is_dnf,is_win,is_podium,is_top5,is_top10
30,52,8.0,9.995330529574929,7.666666666666667,7.6,8.0,26.0,0.5192307692307693,0.19230769230769232,0.6538461538461539,0.34615384615384615,0.4,3.923076923076923,-4.076923076923077,14.0,4.0,3,2.3333333333333335,1.0,3,1.0,0.0,2.239083370677224,1.8461538461538463,1.3333333333333333,1.4,-7.0,8.2,2.0,1.0,84.4115,13.915720525178484,22,288,10.621527777777779,18.0,15.2,0.2152777777777778,0.052083333333333336,0.4201388888888889,0.6,19.0,6.0,10,9.1,0.3,0.4,9.27799453269207,23.5,1.8,240,1995,1,18,0,1,10.0,1,2,0,1,1,1,1
14,8,8.375,6.078897346875004,4.0,8.0,8.375,10.0,0.125,0.0,0.625,0.5,0.6,5.625,-2.75,7.0,14.0,0,14.0,15.0,0,0.0,0.15,14.0,5.625,5.0,4.8,2.2,2.8,3.0,1.0,89.3505,13.030418182768331,3,555,9.841441441441441,56.0,5.7,0.34234234234234234,0.14054054054054055,0.4018018018018018,0.3,23.0,4.0,17,9.823529411764707,0.35294117647058826,0.4117647058823529,7.597052913379833,23.5,1.8,240,1995,1,18,0,2,6.0,1,3,0,0,1,1,1
77,163,11.61963190184049,9.756451406615103,8.333333333333334,10.6,11.61963190184049,14.0,0.2331288343558282,0.05521472392638037,0.5153374233128835,0.48466257668711654,0.4,6.429447852760736,-5.190184049079755,4.0,6.0,5,15.2,2.0,2,0.4,0.6,16.916250958690338,6.0,9.333333333333334,6.2,-1.2,6.8,5.0,1.0,87.885,12.493087461359995,6,1317,9.629460895975702,19.0,11.5,0.2877752467729689,0.07972665148063782,0.42444950645406226,0.4,65.0,1.0,24,7.791666666666667,0.25,0.20833333333333334,8.99575670299873,23.5,1.8,240,1995,1,18,0,3,4.0,11,5,0,0,1,1,1
57,50,13.02,7.7850451751496,7.333333333333333,5.6,13.02,12.0,0.14,0.0,0.4,0.5,0.2,13.04,0.02,26.0,0.0,3,13.333333333333334,9.0,0,0.0,0.3333333333333333,14.277049015281005,6.571428571428571,7.0,6.4,-4.6,8.7,7.0,1.0,87.687,12.580787358885889,1,801,10.18976279650437,19.0,8.4,0.29712858926342073,0.12484394506866417,0.41448189762796506,0.3,0.0,12.0,25,9.76,0.4,0.36,11.947767637792143,23.5,1.8,240,1995,1,18,0,4,3.0,11,7,0,0,0,1,1
55,86,12.406976744186046,9.603823965437567,6.333333333333333,12.4,12.406976744186046,5.0,0.1511627906976744,0.0,0.4883720930232558,0.5116279069767442,0.4,7.348837209302325,-5.058139534883721,9.0,8.0,5,5.6,3.0,1,0.2,0.0,5.4303535434624735,5.846153846153846,10.333333333333334,7.4,1.2,6.8,6.0,1.0,88.476,11.955306050831073,6,1317,9.629460895975702,19.0,11.5,0.2877752467729689,0.07972665148063782,0.42444950645406226,0.4,65.0,1.0,24,7.791666666666667,0.25,0.20833333333333334,8.99575670299873,23.5,1.8,240,1995,1,18,0,5,2.0,11,6,0,0,0,1,1
87,48,14.604166666666666,13.741602341540881,13.666666666666666,14.8,14.604166666666666,0.0,0.0625,0.0,0.3333333333333333,0.6041666666666666,0.8,13.145833333333334,-1.4583333333333333,24.0,0.0,3,13.333333333333334,5.0,0,0.0,0.6666666666666666,13.266612698272397,12.733333333333333,13.333333333333334,14.6,2.2,8.7,9.0,1.0,87.229,10.91431123485943,1,801,10.18976279650437,19.0,8.4,0.29712858926342073,0.12484394506866417,0.41448189762796506,0.3,0.0,12.0,25,9.76,0.4,0.36,11.947767637792143,23.5,1.8,240,1995,1,18,0,6,1.0,11,9,0,0,0,0,1
63,2,13.0,12.100000000000001,13.0,13.0,13.0,0.0,0.0,0.0,0.5,0.5,0.5,23.5,10.5,32.0,0.0,0,14.0,15.0,0,0.0,0.15,14.0,23.5,23.5,23.5,8.0,13.5,12.0,1.0,85.17,22.41896289477557,25,752,13.066489361702128,0.0,16.3,0.1023936170212766,0.030585106382978722,0.4973404255319149,0.8,21.0,5.0,24,13.125,0.08333333333333333,0.5,14.781387924786394,23.5,1.8,240,1995,1,18,0,7,0.0,12,12,0,0,0,0,1
88,82,21.146341463414632,16.563758839818775,14.333333333333334,17.6,21.146341463414632,0.0,0.012195121951219513,0.0,0.18292682926829268,0.7439024390243902,0.8,12.317073170731707,-8.829268292682928,34.0,0.0,4,22.5,18.0,0,0.0,1.0,22.299051758308085,20.0,20.0,20.0,12.0,14.3,15.0,1.0,88.311,13.39637552272598,27,545,13.889908256880734,2.0,10.7,0.08623853211009175,0.014678899082568808,0.5266055045871559,0.2,61.0,3.0,16,12.125,0.125,0.5,13.465843450176246,23.5,1.8,240,1995,1,18,0,8,0.0,12,15,0,0,0,0,1
85,1,27.0,27.0,27.0,27.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-27.0,42.0,0.0,0,14.0,15.0,0,0.0,0.15,14.0,14.0,14.0,14.0,0.0,25.666666666666668,22.0,1.0,85.0,2.5,30,32,25.71875,0.0,27.5,0.0,0.0,1.0,1.0,0.0,14.0,2,27.0,0.0,1.0,27.0,23.5,1.8,240,1995,1,18,0,9,0.0,16,22,0,0,0,0,1
64,0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.1,0.15,0.15,15.0,0.0,18.0,0.0,0,14.0,15.0,0,0.0,0.15,14.0,14.0,14.0,14.0,0.0,14.0,25.0,1.0,85.0,2.5,28,0,14.0,2.0,14.0,0.02,0.0,0.15,0.15,0.0,10.0,0,14.0,0.02,0.15,14.0,23.5,1.8,240,1995,1,18,0,10,0.0,17,25,0,0,0,0,1
81,52,16.48076923076923,17.923039952550234,17.333333333333332,17.4,16.48076923076923,0.0,0.0,0.0,0.21153846153846154,0.6153846153846154,0.6,15.73076923076923,-0.75,22.0,0.0,4,13.0,7.0,0,0.0,0.25,13.911920082363547,14.466666666666667,13.666666666666666,14.8,-2.4,16.0,13.0,1.0,87.8135,15.476593842939558,29,128,16.734375,0.0,14.1,0.0,0.0,0.59375,0.4,3.0,5.0,8,19.5,0.0,0.75,19.15122533125887,23.5,1.8,240,1995,1,18,0,11,0.0,5,13,1,0,0,0,0
